Tempo(s),Amplitude
8.023,297.3
9.676,-1913
30.78,838.5
34.84,-1502
55.47,1213
57.54,-1295
80.37,825.1
81.41,-1471
105.2,654.4
104.7,-1937
130.1,555.4
127.1,-1784
152.5,678.2
153.1,-1643
177.5,506.5
175.5,-1737
200.9,956.9
200.4,-1475
224.4,799
224.7,-1497
248.5,1221
248.5,-1417
272.4,304.3
272.4,-1880
298.1,1039
294.7,-1488
305.5,4204
311.2,-3511
319.8,1268
320.8,-1139
344.2,1223
344.2,-1381
368.6,650.2
367.6,-1559
392.4,314.1
391.5,-1769
417.1,853.1
415.2,-1472
441.4,592.6
438.3,-1617
464.2,315.3
463.4,-1913
487.7,585.8
488,-1610
512.5,975.7
511.2,-1365
537.7,1466
534.1,-1318
547,4044
549.5,-3575
543.6,-6527
560.6,307.2
560.6,-1678
583.5,1479
583.5,-1217
607.9,1095
606.8,-1705
631.4,1356
631.4,-1312
655.3,1396
655.3,-1301
677.9,902.4
680.6,-1456
705.2,936.2
701.3,-1442
727.1,1525
727.1,-1187
751.6,588.3
750.2,-1907
775.9,1045
774.8,-1657
798.6,-1514
798.9,1305
798.8,-764.6
789.8,4568
823.9,457.9
821.5,-1809
837.7,3824
846.8,1393
846.8,-1269
871.3,1213
870.4,-1329
894.7,1337
894.7,-1333
918.5,1046
918.6,-1346
942.2,1393
942.7,-1227
965.5,740.7
967.5,-1561
990.3,838
990.5,-1521
1015,1178
1014,-1359
1038,1468
1038,-1246
1062,1162
1061,-1333
1072,4944
1074,2826
1082,-1734
1072,-5081
1072,-7282
1088,638.6
1107,-1413
1110,1267
1130,-806.8
1136,2105
1140,-3027
1147,3796
1146,-5596
1153,6692
1159,414.6
1164,-2043
1155,1.40E+04
1157,1.19E+04
1158,9629
1166,-7311
1174,-1.06E+04
1157,-1.27E+04
1171,4393
1171,-3794
1182,7350
1183,1328
1180,1.06E+04
1190,8667
1192,-534.2
1190,-6494
1186,-9515
1183,-1.11E+04
1195,4327
1194,-3359
1175,-1.26E+04
1193,5827
1210,1035
1215,-1234
1202,-6922
1222,2499
1219,-2916
1237,1059
1237,-2249
1253,2060
1262,1.237
1262,-2667
1277,2405
1286,235.1
1282,-2393
1288,5685
1296,-3566
1288,-6982
1301,2118
1310,-1236
1324,-2628
1324,1937
1336,-51.41
1347,-2246
1352,2100
1363,107
1365,-3051
1374,2291
1377,-1121
1374,893.6
1380,-3368
